AMself_2_2/epoch-40.humanAP: 0.9093, MR: 0.4493, JI: 0.8298, Recall: 0.9551
AMself_2_2/epoch-41.humanAP: 0.9136, MR: 0.4335, JI: 0.8337, Recall: 0.9587
AMself_2_2/epoch-42.humanAP: 0.9140, MR: 0.4274, JI: 0.8369, Recall: 0.9578
AMself_2_2/epoch-43.humanAP: 0.9163, MR: 0.4276, JI: 0.8389, Recall: 0.9592
AMself_2_2/epoch-44.humanAP: 0.9156, MR: 0.4318, JI: 0.8404, Recall: 0.9576
AMself_2_2/epoch-45.humanAP: 0.9161, MR: 0.4348, JI: 0.8389, Recall: 0.9590
AMself_2_2/epoch-46.humanAP: 0.9169, MR: 0.4256, JI: 0.8373, Recall: 0.9602
AMself_2_2/epoch-47.humanAP: 0.9173, MR: 0.4266, JI: 0.8393, Recall: 0.9598
AMself_2_2/epoch-48.humanAP: 0.9184, MR: 0.4250, JI: 0.8414, Recall: 0.9603
AMself_2_2/epoch-49.humanAP: 0.9192, MR: 0.4156, JI: 0.8397, Recall: 0.9621
AMself_2_2/epoch-50.humanAP: 0.9198, MR: 0.4250, JI: 0.8416, Recall: 0.9618
AMself_2_2/epoch-51.humanAP: 0.9200, MR: 0.4238, JI: 0.8419, Recall: 0.9614
AMself_2_2/epoch-52.humanAP: 0.9202, MR: 0.4167, JI: 0.8408, Recall: 0.9619
AMself_2_2/epoch-53.humanAP: 0.9197, MR: 0.4140, JI: 0.8436, Recall: 0.9607
AMself_2_2/epoch-54.humanAP: 0.9197, MR: 0.4215, JI: 0.8432, Recall: 0.9605
AMself_2_2/epoch-55.humanAP: 0.9202, MR: 0.4213, JI: 0.8430, Recall: 0.9604
AMself_2_2/epoch-56.humanAP: 0.9195, MR: 0.4230, JI: 0.8424, Recall: 0.9612
AMself_2_2/epoch-57.humanAP: 0.9209, MR: 0.4254, JI: 0.8428, Recall: 0.9616
AMself_2_2/epoch-58.humanAP: 0.9209, MR: 0.4203, JI: 0.8423, Recall: 0.9625
AMself_2_2/epoch-59.humanAP: 0.9206, MR: 0.4252, JI: 0.8420, Recall: 0.9613
AMself_2_1/epoch-40.humanAP: 0.9119, MR: 0.4357, JI: 0.8358, Recall: 0.9574
AMself_2_1/epoch-41.humanAP: 0.9138, MR: 0.4368, JI: 0.8363, Recall: 0.9596
AMself_2_1/epoch-42.humanAP: 0.9157, MR: 0.4315, JI: 0.8372, Recall: 0.9608
AMself_2_1/epoch-43.humanAP: 0.9180, MR: 0.4310, JI: 0.8393, Recall: 0.9628
AMself_2_1/epoch-44.humanAP: 0.9181, MR: 0.4303, JI: 0.8398, Recall: 0.9616
AMself_2_1/epoch-45.humanAP: 0.9178, MR: 0.4333, JI: 0.8399, Recall: 0.9612
AMself_2_1/epoch-46.humanAP: 0.9180, MR: 0.4290, JI: 0.8409, Recall: 0.9606
AMself_2_1/epoch-47.humanAP: 0.9187, MR: 0.4265, JI: 0.8427, Recall: 0.9608
AMself_2_1/epoch-48.humanAP: 0.9195, MR: 0.4284, JI: 0.8413, Recall: 0.9621
AMself_2_1/epoch-49.humanAP: 0.9197, MR: 0.4219, JI: 0.8421, Recall: 0.9617
AMself_2_1/epoch-50.humanAP: 0.9197, MR: 0.4211, JI: 0.8416, Recall: 0.9618
AMself_2_1/epoch-51.humanAP: 0.9192, MR: 0.4254, JI: 0.8419, Recall: 0.9612
AMself_2_1/epoch-52.humanAP: 0.9202, MR: 0.4251, JI: 0.8400, Recall: 0.9633
AMself_2_1/epoch-53.humanAP: 0.9212, MR: 0.4163, JI: 0.8435, Recall: 0.9625
AMself_2_1/epoch-54.humanAP: 0.9203, MR: 0.4230, JI: 0.8436, Recall: 0.9615
AMself_2_1/epoch-55.humanAP: 0.9210, MR: 0.4195, JI: 0.8443, Recall: 0.9629
AMself_2_1/epoch-56.humanAP: 0.9209, MR: 0.4224, JI: 0.8427, Recall: 0.9618
AMself_2_1/epoch-57.humanAP: 0.9199, MR: 0.4245, JI: 0.8439, Recall: 0.9607
AMself_2_1/epoch-58.humanAP: 0.9207, MR: 0.4209, JI: 0.8436, Recall: 0.9623
AMself_2_1/epoch-59.humanAP: 0.9215, MR: 0.4201, JI: 0.8431, Recall: 0.9625
S_baseline/epoch-40.humanAP: 0.9116, MR: 0.4303, JI: 0.8368, Recall: 0.9556
S_baseline/epoch-41.humanAP: 0.9136, MR: 0.4245, JI: 0.8381, Recall: 0.9574
S_baseline/epoch-42.humanAP: 0.9155, MR: 0.4186, JI: 0.8396, Recall: 0.9590
S_baseline/epoch-43.humanAP: 0.9173, MR: 0.4232, JI: 0.8397, Recall: 0.9606
S_baseline/epoch-44.humanAP: 0.9178, MR: 0.4223, JI: 0.8411, Recall: 0.9597
S_baseline/epoch-45.humanAP: 0.9169, MR: 0.4222, JI: 0.8410, Recall: 0.9588
S_baseline/epoch-46.humanAP: 0.9185, MR: 0.4172, JI: 0.8432, Recall: 0.9611
S_baseline/epoch-47.humanAP: 0.9201, MR: 0.4174, JI: 0.8448, Recall: 0.9616
S_baseline/epoch-48.humanAP: 0.9205, MR: 0.4186, JI: 0.8424, Recall: 0.9619
S_baseline/epoch-49.humanAP: 0.9200, MR: 0.4152, JI: 0.8433, Recall: 0.9619
S_baseline/epoch-50.humanAP: 0.9201, MR: 0.4173, JI: 0.8446, Recall: 0.9614
